COLLCODE,COLL_NAME
4955,FRANCIS XAVIER ENGINEERING COLLEGE
4957,JAYARAJ ANNAPACKIAM CSI COLLEGE OF ENGINEERING
4959,KAMARAJ COLLEGE OF ENGINEERING AND TECHNOLOGY
4960,MEPCO SCHLENK ENGINEERING COLLEGE (AUTONOMOUS)
4961,NATIONAL COLLEGE OF ENGINEERING
4962,NATIONAL ENGINEERING COLLEGE  (AUTONOMOUS)
4964,PSN COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS)
4965,P.S.R ENGINEERING COLLEGE (AUTONOMOUS)
4966,PET ENGINEERING COLLEGE
4967,S.VEERASAMY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY
4968,SARDAR RAJA COLLEGE OF ENGINEERING
4969,SCAD COLLEGE OF ENGINEERING AND TECHNOLOGY
4970,SREE SOWDAMBIKA COLLEGE OF ENGINEERING
4971,St.XAVIER'S CATHOLIC COLLEGE OF ENGINEERING
4972,AMRITA COLLEGE OF ENGINEERING AND TECHNOLOGY
4973,RAJAS ENGINEERING COLLEGE
4974,GOVERNMENT COLLEGE OF ENGINEERING - TIRUNELVELI
4975,DR.G.U.POPE COLLEGE OF ENGINEERING
4976,INFANT JESUS COLLEGE OF ENGINEERING
4977,NARAYANAGURU COLLEGE OF ENGINEERING
4978,UDAYA SCHOOL OF ENGINEERING
4979,V.P.MUTHAIAH PILLAI MEENAKSHI AMMAL ENGINEERING COLLEGE FOR WOMEN
4980,EINSTEIN COLLEGE OF ENGINEERING
4981,PONJESLY COLLEGE OF ENGINEERING
4982,VINS CHRISTIAN COLLEGE OF ENGINEERING
4983,LORD JEGANNATH COLLEGE OF ENGINEERING AND TECHNOLOGY
4984,MARTHANDAM COLLEGE OF ENGINEERING AND TECHNOLOGY
4987,JAMES COLLEGE OF ENGINEERING AND TECHNOLOGY
4989,PSN ENGINEERING COLLEGE
4991,KALASALINGAM INSTITUTE OF TECHNOLOGY
4992,BETHLAHEM INSTITUTE OF ENGINEERING
4993,LOYOLA INSTITUTE OF TECHNOLOGY AND SCIENCE
4994,J P COLLEGE OF ENGINEERING
4995,P.S.R.RENGASAMY COLLEGE OF ENGINEERING FOR WOMEN
4996,SRI VIDYA COLLEGE OF ENGINEERING & TECHNOLOGY
4998,MAHAKAVI BHARATHIYAR COLLEGE OF ENGINEERING AND TECHNOLOGY
4999,ANNAI VAILANKANNI COLLEGE OF ENGINEERING
5008,THIAGARAJAR COLLEGE OF ENGINEERING (AUTONOMOUS)
5009,"GOVERNMENT COLLEGE OF ENGINEERING, BODIYANAYAKKANUR"
5010,"ANNA UNIVERSITY REGIONAL CAMPUS, MADURAI"
5012,CENTRAL ELECTROCHEMICAL RESEARCH INSTITUTE (CSIR) KARAIKUDI
5017,"UNIVERSITY COLLEGE OF ENGINEERING, RAMANATHAPURAM"
5022,"UNIVERSITY COLLEGE OF ENGINEERING, DINDIGUL"
5502,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY
5530,SSM INSTITUTE OF ENGINEERING AND TECHNOLOGY
5532,VAIGAI COLLEGE OF ENGINEERING
5533,KIT & KIM TECHNICAL CAMPUS
5536,MANGAYARKARASI COLLEGE OF ENGINEERING
5540,ARINGER ANNA COLLEGE OF ENGINEERING AND TECHNOLOGY
5703,CHRISTIAN COLLEGE OF ENGINEERING AND TECHNOLOGY
5720,SRI SUBRAMANYA COLLEGE OF ENGINEERING AND TECHNOLOGY
5832,N P R COLLEGE OF ENGINEERING AND TECHNOLOGY
5842,MADURAI INSTITUTE OF ENGINEERING AND TECHNOLOGY
5851,VEERAMMAL ENGINEERING COLLEGE
5862,R.V.S. SCHOOL OF ENGINEERING AND TECHNOLOGY
5865,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY
5901,ALAGAPPA CHETTIAR GOVT. COLLEGE OF ENGG. AND TECH. (AUTONOMOUS)
5902,BHARATH NIKETAN ENGINEERING COLLEGE
5903,K.L.N.COLLEGE OF INFORMATION TECHNOLOGY
5904,K.L.N.COLLEGE OF ENGINEERING
5907,MOHAMED SATHAK ENGINEERING COLLEGE
5910,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY
5911,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY
5912,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE
5913,R.V.S. COLLEGE OF ENGINEERING
5914,SOLAMALAI COLLEGE OF ENGINEERING
5915,SACS M.A.V.M.M ENGINEERING COLLEGE
5919,St.MICHAEL COLLEGE OF ENGINEERING & TECHNOLOGY
5921,SYED AMMAL ENGINEERING COLLEGE
5922,VICKRAM COLLEGE OF ENGINEERING
5924,GANAPATHY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY
5930,SBM COLLEGE OF ENGINEERING AND TECHNOLOGY
5935,FATIMA MICHAEL COLLEGE OF ENGINEERING AND TECHNOLOGY
5942,ULTRA COLLEGE OF ENGINEERING AND TECHNOLOGY
5986,VELAMMAL COLLEGE OF ENGINEERING AND TECHNOLOGY
5988,THENI KAMMAVAR SANGAM COLLEGE OF TECHNOLOGY
5990,LATHA MATHAVAN ENGINEERING COLLEGE
